127.0.0.1 - - [28/May/2020:14:36:01 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [28/May/2020:14:36:12 +0530] "GET /YouAreSecure/sos.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2020:14:36:13 +0530] "GET /YouAreSecure/login.jsp HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [28/May/2020:14:36:56 +0530] "GET /YouAreSecure/myLogin?username=202020202020&password=tina&login= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2020:14:36:57 +0530] "GET /YouAreSecure/home.jsp HTTP/1.1" 200 7835
0:0:0:0:0:0:0:1 - - [28/May/2020:14:36:59 +0530] "GET /YouAreSecure/warning-145066_960_720.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:14:37:00 +0530] "GET /YouAreSecure/female-3743458.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:14:37:11 +0530] "GET /YouAreSecure/unregloc.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [28/May/2020:14:37:12 +0530] "GET /YouAreSecure/map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:14:37:30 +0530] "GET /YouAreSecure/home.jsp HTTP/1.1" 200 7835
0:0:0:0:0:0:0:1 - - [28/May/2020:14:37:42 +0530] "POST /YouAreSecure/home.jsp HTTP/1.1" 200 8269
0:0:0:0:0:0:0:1 - - [28/May/2020:14:38:18 +0530] "GET /YouAreSecure/sos.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [28/May/2020:14:38:19 +0530] "GET /YouAreSecure/alarm-gif.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:14:38:24 +0530] "GET /YouAreSecure/home.jsp HTTP/1.1" 200 8269
0:0:0:0:0:0:0:1 - - [28/May/2020:14:38:40 +0530] "POST /YouAreSecure/home.jsp HTTP/1.1" 200 8255
0:0:0:0:0:0:0:1 - - [28/May/2020:14:39:00 +0530] "GET /YouAreSecure/AddL HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2020:14:39:02 +0530] "GET /YouAreSecure/mylocations.jsp?msg=added HTTP/1.1" 200 5337
0:0:0:0:0:0:0:1 - - [28/May/2020:14:39:12 +0530] "GET /YouAreSecure/home.jsp HTTP/1.1" 200 7835
0:0:0:0:0:0:0:1 - - [28/May/2020:14:39:21 +0530] "GET /YouAreSecure/unregloc.jsp HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [28/May/2020:14:39:22 +0530] "GET /YouAreSecure/unregloc.jsp HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [28/May/2020:14:39:31 +0530] "GET /YouAreSecure/home.jsp HTTP/1.1" 200 7835
0:0:0:0:0:0:0:1 - - [28/May/2020:14:39:39 +0530] "GET /YouAreSecure/mylocations.jsp HTTP/1.1" 200 5337
0:0:0:0:0:0:0:1 - - [28/May/2020:14:39:55 +0530] "GET /YouAreSecure/home.jsp HTTP/1.1" 200 7835
0:0:0:0:0:0:0:1 - - [28/May/2020:14:40:17 +0530] "POST /YouAreSecure/home.jsp HTTP/1.1" 200 8269
0:0:0:0:0:0:0:1 - - [28/May/2020:14:40:46 +0530] "GET /YouAreSecure/sos.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [28/May/2020:14:40:54 +0530] "GET /YouAreSecure/home.jsp HTTP/1.1" 200 8269
0:0:0:0:0:0:0:1 - - [28/May/2020:14:43:17 +0530] "POST /YouAreSecure/home.jsp HTTP/1.1" 200 8269
0:0:0:0:0:0:0:1 - - [28/May/2020:14:43:48 +0530] "GET /YouAreSecure/sos.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [28/May/2020:14:43:53 +0530] "GET /YouAreSecure/home.jsp HTTP/1.1" 200 8269
